time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:25:03.089138,$GPGGA,42.34097166666667,-71.09744166666665,8.4,327221.6359217441,4689765.60355865,19,T
2022/02/08/16:25:04.087104,$GPGGA,42.34097499999999,-71.09743833333333,8.5,327221.91964968597,4689765.966926661,19,T
2022/02/08/16:25:05.087698,$GPGGA,42.34097833333333,-71.09743499999999,8.6,327222.20337760344,4689766.330294685,19,T
2022/02/08/16:25:06.106922,$GPGGA,42.34098166666666,-71.09743,8.7,327222.62440419337,4689766.690275907,19,T
2022/02/08/16:25:07.082767,$GPGGA,42.340985,-71.09742666666666,8.7,327222.9081320445,4689767.053643957,19,T
2022/02/08/16:25:08.086619,$GPGGA,42.34098666666667,-71.09742166666666,8.8,327223.32459334866,4689767.2285543885,19,T
2022/02/08/16:25:09.100110,$GPGGA,42.34099,-71.09741666666667,8.9,327223.7456198293,4689767.588535674,19,T
2022/02/08/16:25:10.080894,$GPGGA,42.34099333333334,-71.09741333333334,9.0,327224.02934758924,4689767.951903768,19,T
2022/02/08/16:25:11.089237,$GPGGA,42.34099666666666,-71.09741000000001,9.1,327224.3130753166,4689768.31527187,19,T
2022/02/08/16:25:12.089354,$GPGGA,42.341,-71.097405,9.2,327224.73410168244,4689768.675253215,19,T
2022/02/08/16:25:13.102959,$GPGGA,42.34100333333334,-71.09740166666667,9.2,327225.01782934746,4689769.038621346,19,T
2022/02/08/16:25:14.105274,$GPGGA,42.341006666666665,-71.09739833333333,9.3,327225.30155698396,4689769.401989487,19,T
2022/02/08/16:25:15.088720,$GPGGA,42.341010000000004,-71.09739333333333,9.3,327225.7225832351,4689769.761970886,19,T
2022/02/08/16:25:16.105757,$GPGGA,42.34101333333333,-71.09738833333334,9.3,327226.1436094431,4689770.12195231,19,T
2022/02/08/16:25:17.105385,$GPGGA,42.34101666666667,-71.097385,9.3,327226.42733697954,4689770.485320495,19,T
2022/02/08/16:25:18.107833,$GPGGA,42.34101999999999,-71.09738166666666,9.4,327226.71106448746,4689770.848688689,19,T
2022/02/08/16:25:19.083452,$GPGGA,42.34102333333333,-71.09737666666666,9.4,327227.13209058077,4689771.20867017,19,T
2022/02/08/16:25:20.082310,$GPGGA,42.34102666666666,-71.09737166666667,9.5,327227.5531166309,4689771.568651673,19,T
2022/02/08/16:25:21.106764,$GPGGA,42.34103,-71.09736666666666,9.6,327227.97414264,4689771.928633205,19,T
2022/02/08/16:25:22.083473,$GPGGA,42.34103333333334,-71.09736166666667,9.8,327228.39516860404,4689772.288614759,19,T
2022/02/08/16:25:23.111659,$GPGGA,42.34103666666667,-71.09735833333335,9.9,327228.6788959402,4689772.651983028,19,T
2022/02/08/16:25:24.104024,$GPGGA,42.34104000000001,-71.09735333333333,10.0,327229.0999218252,4689773.011964623,19,T
2022/02/08/16:25:25.091162,$GPGGA,42.341045,-71.09734833333333,10.1,327229.52551272116,4689773.557017074,19,T
2022/02/08/16:25:26.091371,$GPGGA,42.34104833333334,-71.09734333333334,10.2,327229.94653850934,4689773.916998714,19,T
2022/02/08/16:25:27.098228,$GPGGA,42.341051666666665,-71.09733833333333,10.3,327230.36756425654,4689774.276980381,19,T
2022/02/08/16:25:28.084207,$GPGGA,42.341055000000004,-71.09733333333334,10.3,327230.78858995636,4689774.636962073,19,T
2022/02/08/16:25:29.084835,$GPGGA,42.34106,-71.09732833333334,10.4,327231.2141806291,4689775.182014619,19,T
2022/02/08/16:25:30.086453,$GPGGA,42.34106333333334,-71.09732333333334,10.5,327231.6352062364,4689775.54199636,19,T
2022/02/08/16:25:31.091402,$GPGGA,42.34106666666666,-71.09731833333333,10.6,327232.05623179843,4689775.901978121,19,T
2022/02/08/16:25:32.083913,$GPGGA,42.34107000000001,-71.09731333333335,10.7,327232.4772573174,4689776.26195991,19,T
2022/02/08/16:25:33.090207,$GPGGA,42.341073333333334,-71.09730833333333,10.8,327232.8982827932,4689776.621941721,19,T
2022/02/08/16:25:34.091808,$GPGGA,42.34107833333334,-71.09730333333333,10.8,327233.32387318485,4689777.166994391,19,T
2022/02/08/16:25:35.091309,$GPGGA,42.34108166666667,-71.09729666666667,10.9,327233.88219705207,4689777.523589654,19,T
2022/02/08/16:25:36.085570,$GPGGA,42.34108500000001,-71.09729166666666,10.9,327234.3032223807,4689777.8835715465,19,T
2022/02/08/16:25:37.090531,$GPGGA,42.34108833333333,-71.09728666666666,10.9,327234.7242476661,4689778.2435534615,19,T
2022/02/08/16:25:38.086009,$GPGGA,42.34109166666667,-71.09728166666667,11.0,327235.1452729085,4689778.603535404,19,T
2022/02/08/16:25:39.082702,$GPGGA,42.341094999999996,-71.09727500000001,11.0,327235.7035965667,4689778.960130807,19,T
2022/02/08/16:25:40.084917,$GPGGA,42.341098333333335,-71.09727166666667,11.1,327235.9873232659,4689779.323499357,19,T
2022/02/08/16:25:41.105169,$GPGGA,42.34110166666666,-71.09726666666667,11.2,327236.40834837884,4689779.683481371,19,T
2022/02/08/16:25:42.089307,$GPGGA,42.341105,-71.09726166666665,11.3,327236.82937345083,4689780.043463408,19,T
2022/02/08/16:25:43.105946,$GPGGA,42.34110833333334,-71.09725666666667,11.4,327237.25039847766,4689780.403445472,19,T
2022/02/08/16:25:44.083711,$GPGGA,42.34111166666666,-71.09725166666666,11.4,327237.6714234613,4689780.7634275565,19,T
2022/02/08/16:25:45.089780,$GPGGA,42.34111500000001,-71.09724666666666,11.5,327238.09244840185,4689781.123409668,19,T
2022/02/08/16:25:46.104336,$GPGGA,42.341118333333334,-71.09724166666666,11.7,327238.5134732993,4689781.483391803,19,T
2022/02/08/16:25:47.107098,$GPGGA,42.34112333333334,-71.09723833333334,11.8,327238.80176457646,4689782.031831294,19,T
2022/02/08/16:25:48.090500,$GPGGA,42.34112666666667,-71.09723333333334,11.9,327239.2227893864,4689782.391813468,19,T
2022/02/08/16:25:49.090632,$GPGGA,42.34113000000001,-71.09723000000001,11.9,327239.50651576894,4689782.755182155,19,T
